framenum,time,skier,centrex,centrey,safe
120,8.0,1,531,148,False
120,8.0,2,537,280,True
120,8.0,3,551,288,True
120,8.0,4,383,598,False
120,8.0,5,357,673,False
121,8.066666666666666,0,382,154,False
121,8.066666666666666,1,531,148,False
121,8.066666666666666,2,535,282,True
121,8.066666666666666,3,551,290,True
121,8.066666666666666,4,380,601,False
121,8.066666666666666,5,357,673,False
122,8.133333333333333,0,382,154,False
122,8.133333333333333,1,531,148,False
122,8.133333333333333,2,535,283,True
122,8.133333333333333,3,550,290,True
122,8.133333333333333,4,379,603,False
122,8.133333333333333,5,357,673,False
123,8.2,0,382,154,False
123,8.2,1,531,148,False
123,8.2,2,533,285,True
123,8.2,3,550,291,True
123,8.2,4,378,606,False
123,8.2,5,357,673,False
124,8.266666666666667,0,382,154,False
124,8.266666666666667,1,531,148,False
124,8.266666666666667,2,532,288,True
124,8.266666666666667,3,549,292,True
124,8.266666666666667,4,376,609,False
124,8.266666666666667,5,357,673,False
125,8.333333333333334,0,382,154,False
125,8.333333333333334,1,531,148,False
125,8.333333333333334,2,531,289,True
125,8.333333333333334,3,549,293,True
125,8.333333333333334,4,375,610,False
125,8.333333333333334,5,357,673,False
126,8.4,0,382,154,False
126,8.4,1,531,148,False
126,8.4,2,529,291,True
126,8.4,3,548,295,True
126,8.4,4,372,613,False
126,8.4,5,357,673,False
127,8.466666666666667,0,382,154,False
127,8.466666666666667,1,531,148,False
127,8.466666666666667,2,529,293,True
127,8.466666666666667,3,548,296,True
127,8.466666666666667,4,372,615,False
127,8.466666666666667,5,357,673,False
128,8.533333333333333,0,382,154,False
128,8.533333333333333,1,531,147,False
128,8.533333333333333,2,528,294,True
128,8.533333333333333,3,548,297,True
128,8.533333333333333,4,370,618,False
128,8.533333333333333,5,357,673,False
129,8.6,0,382,154,False
129,8.6,1,531,147,False
129,8.6,2,526,297,True
129,8.6,3,547,299,True
129,8.6,4,367,621,False
129,8.6,5,357,673,False
130,8.666666666666666,0,382,154,False
130,8.666666666666666,1,531,148,False
130,8.666666666666666,2,525,298,True
130,8.666666666666666,3,547,299,True
130,8.666666666666666,4,367,623,False
130,8.666666666666666,5,357,673,False
131,8.733333333333333,0,382,154,False
131,8.733333333333333,1,530,148,False
131,8.733333333333333,2,523,301,True
131,8.733333333333333,3,548,301,True
131,8.733333333333333,4,365,626,False
131,8.733333333333333,5,357,673,False
132,8.8,0,383,155,False
132,8.8,1,531,148,False
132,8.8,2,523,302,True
132,8.8,3,547,302,True
132,8.8,4,364,628,False
132,8.8,5,357,673,False
133,8.866666666666667,0,383,154,False
133,8.866666666666667,1,531,147,False
133,8.866666666666667,2,522,304,True
133,8.866666666666667,3,548,303,True
133,8.866666666666667,4,362,631,False
133,8.866666666666667,5,357,673,False
134,8.933333333333334,0,383,155,False
134,8.933333333333334,1,530,147,False
134,8.933333333333334,2,521,306,True
134,8.933333333333334,3,548,304,True
134,8.933333333333334,4,361,632,False
134,8.933333333333334,5,357,673,False
135,9.0,0,383,155,False
135,9.0,1,531,148,False
135,9.0,2,520,308,True
135,9.0,3,548,306,True
135,9.0,4,358,636,False
135,9.0,5,357,673,False
136,9.066666666666666,0,382,155,False
136,9.066666666666666,1,531,148,False
136,9.066666666666666,2,518,310,True
136,9.066666666666666,3,548,308,True
136,9.066666666666666,4,357,639,False
136,9.066666666666666,5,357,673,False
137,9.133333333333333,0,382,155,False
137,9.133333333333333,1,531,148,False
137,9.133333333333333,2,517,312,True
137,9.133333333333333,3,549,309,True
137,9.133333333333333,4,356,640,False
137,9.133333333333333,5,357,673,False
138,9.2,0,382,155,False
138,9.2,1,531,148,False
138,9.2,2,516,314,True
138,9.2,3,549,310,True
138,9.2,4,353,643,False
138,9.2,5,357,673,False
139,9.266666666666667,0,382,156,False
139,9.266666666666667,1,531,148,False
139,9.266666666666667,2,515,316,True
139,9.266666666666667,3,549,312,True
139,9.266666666666667,4,352,647,False
139,9.266666666666667,5,357,673,False
140,9.333333333333334,0,382,155,False
140,9.333333333333334,1,530,147,False
140,9.333333333333334,2,515,317,True
140,9.333333333333334,3,550,313,True
140,9.333333333333334,4,350,649,False
140,9.333333333333334,5,357,673,False
141,9.4,0,381,156,False
141,9.4,1,531,147,False
141,9.4,2,513,320,True
141,9.4,3,550,314,True
141,9.4,4,348,652,False
141,9.4,5,357,673,False
142,9.466666666666667,0,381,156,False
142,9.466666666666667,1,531,147,False
142,9.466666666666667,2,512,321,False
142,9.466666666666667,3,550,316,True
142,9.466666666666667,4,347,654,False
142,9.466666666666667,5,357,673,False
143,9.533333333333333,0,381,156,False
143,9.533333333333333,1,531,147,False
143,9.533333333333333,2,511,323,False
143,9.533333333333333,3,550,318,True
143,9.533333333333333,4,345,656,False
143,9.533333333333333,5,357,673,False
144,9.6,0,382,157,False
144,9.6,1,530,147,False
144,9.6,2,511,325,False
144,9.6,3,550,319,True
144,9.6,4,343,658,False
144,9.6,5,357,673,False
145,9.666666666666666,0,381,156,False
145,9.666666666666666,1,531,147,False
145,9.666666666666666,2,509,327,False
145,9.666666666666666,3,551,321,True
145,9.666666666666666,4,341,661,False
145,9.666666666666666,5,357,673,False
146,9.733333333333333,0,381,157,False
146,9.733333333333333,1,531,148,False
146,9.733333333333333,2,508,329,False
146,9.733333333333333,3,551,323,True
146,9.733333333333333,4,339,665,False
146,9.733333333333333,5,357,673,False
147,9.8,0,381,157,False
147,9.8,1,531,148,False
147,9.8,2,508,330,False
147,9.8,3,550,324,True
147,9.8,4,338,666,False
147,9.8,5,357,673,False
148,9.866666666666667,0,381,158,False
148,9.866666666666667,1,531,148,False
148,9.866666666666667,2,507,332,False
148,9.866666666666667,3,551,326,True
148,9.866666666666667,4,335,669,False
148,9.866666666666667,5,357,673,False
149,9.933333333333334,0,381,158,False
149,9.933333333333334,1,531,148,False
149,9.933333333333334,2,505,334,False
149,9.933333333333334,3,550,327,True
149,9.933333333333334,4,334,670,False
149,9.933333333333334,5,357,673,False
150,10.0,0,380,158,False
150,10.0,1,530,148,False
150,10.0,2,505,336,False
150,10.0,3,551,329,True
150,10.0,4,333,673,False
150,10.0,5,357,673,False
151,10.066666666666666,0,379,159,False
151,10.066666666666666,1,531,148,False
151,10.066666666666666,2,504,339,False
151,10.066666666666666,3,549,331,True
151,10.066666666666666,4,330,673,False
151,10.066666666666666,5,357,673,False
152,10.133333333333333,0,380,159,False
152,10.133333333333333,1,531,147,False
152,10.133333333333333,2,503,339,False
152,10.133333333333333,3,550,332,True
152,10.133333333333333,4,328,673,False
152,10.133333333333333,5,357,673,False
153,10.2,0,379,159,False
153,10.2,1,531,147,False
153,10.2,2,502,342,False
153,10.2,3,548,333,True
153,10.2,4,328,673,False
153,10.2,5,357,673,False
154,10.266666666666667,0,379,160,False
154,10.266666666666667,1,530,148,False
154,10.266666666666667,2,501,343,False
154,10.266666666666667,3,548,334,True
154,10.266666666666667,4,328,673,False
154,10.266666666666667,5,357,673,False
155,10.333333333333334,0,378,161,False
155,10.333333333333334,1,531,148,False
155,10.333333333333334,2,499,345,False
155,10.333333333333334,3,548,336,True
155,10.333333333333334,4,328,673,False
155,10.333333333333334,5,357,673,False
156,10.4,0,377,161,False
156,10.4,1,531,148,False
156,10.4,2,499,347,False
156,10.4,3,546,338,True
156,10.4,4,328,673,False
156,10.4,5,357,673,False
157,10.466666666666667,0,377,162,False
157,10.466666666666667,1,531,148,False
157,10.466666666666667,2,498,348,False
157,10.466666666666667,3,546,339,True
157,10.466666666666667,4,328,673,False
157,10.466666666666667,5,357,673,False
158,10.533333333333333,0,377,163,False
